ticker,date,sentiment_score,uncertainty_score,sentiment_score_qa,uncertainty_score_qa,sector,volatility_pre_10d,volatility_post_10d,volatility_pre_5d,volatility_post_5d,volatility_pre_20d,volatility_post_20d,n_pre,n_post,vol_error,eps_surprise,abnormal_return,surprise_factor
CTAS,2020-09-23,0.10268,0.003653,0.254599,0.010467,Industrials,0.01756102493765289,0.018646538922555383,0.015974947124913978,0.018063075577950942,0.01814337706616738,0.016123930097726613,10.0,10.0,,0.002142689070942388,0.000675822618966284,0.002142689070942388
CTAS,2021-03-17,0.098815,0.004764,0.193426,0.012924,Industrials,0.02137541575240193,0.015068602377548552,0.017962207508473018,0.012704313402987761,0.022548641355524954,0.014131156844560408,10.0,10.0,,0.0004881035648574883,-0.017091199370826003,0.0004881035648574883
CTAS,2021-07-15,0.291419,0.003672,0.235106,0.007227,Industrials,0.012360197294800387,0.019258297208414668,0.014646495352381503,0.025532646134888943,0.013343054321520036,0.01441574810394839,10.0,10.0,,0.0004528277898734234,-0.02277983784816813,0.0004528277898734234
CTAS,2018-03-22,0.247897,0.00789,0.25296,0.013002,Industrials,0.013058545588562745,0.017783331926096033,0.0028533406097486997,0.015156590897639106,0.010104395594192447,0.013788533776471282,10.0,10.0,,,-0.035226301521880464,-0.035226301521880464
CTAS,2019-12-17,0.295937,0.005896,0.231796,0.009121,Industrials,0.006410075500261133,0.008166984349451924,0.005650297000437723,0.011040217956402372,0.010325096397071597,0.008275706139617348,10.0,10.0,,,-0.00010392833578951896,-0.00010392833578951896
CTAS,2020-03-19,0.318681,0.005284,-0.048104,0.010377,Industrials,0.09008216623884199,0.06878114841577243,0.11665576977926874,0.09187405821948384,0.06935257004340918,0.05920554971967933,10.0,10.0,,,0.025692499248715344,0.025692499248715344
CTAS,2020-12-22,0.134942,0.006024,0.144521,0.010939,Industrials,0.014467010593181362,0.022121119125992808,0.015018279201772974,0.028058785311302584,0.013376297363671685,0.02017139324894911,10.0,10.0,,0.00048243582389281435,0.007074696039848523,0.00048243582389281435
CTAS,2019-03-21,0.051226,0.004843,0.090037,0.008448,Industrials,0.007345432278373721,0.024295951973430898,0.006672664322394138,0.034065429732771935,0.007267483942191443,0.01753026060672925,10.0,10.0,,,0.002946739352518655,0.002946739352518655
CTAS,2019-07-16,0.23034,0.007317,0.259861,0.00676,Industrials,0.004839001358242034,0.02681234160231721,0.003858027866699425,0.037907856394737004,0.007957337762522686,0.022016694164729796,10.0,10.0,,,-0.012597145278828863,-0.012597145278828863
CTAS,2020-07-23,-0.002372,0.00558,0.152869,0.009673,Industrials,0.015105992274803635,0.017127031627101177,0.013241012217028001,0.023984592291079878,0.017526607560752368,0.014205507036896884,10.0,10.0,,0.0005598915603092198,0.05809804576314527,0.0005598915603092198
CTAS,2018-07-19,0.400085,0.006817,0.212237,0.00766,Industrials,0.009139147292107417,0.018011623618454126,0.01119525959946429,0.0200894257421264,0.009723932669666655,0.013456219088295529,10.0,10.0,,,0.009733650913419148,0.009733650913419148
CTAS,2021-09-29,0.309492,0.006983,0.241191,0.008944,Industrials,0.012127746071085495,0.011423686230349235,0.015677900766261386,0.01641919537255026,0.011910111751999712,0.010991420812467696,10.0,10.0,,0.0009638729840974791,0.006547288480209932,0.0009638729840974791
CTAS,2021-12-22,0.371579,0.005686,0.354965,0.00891,Industrials,0.01920655195971988,0.02218617244926962,0.023847472524037055,0.011325829983264412,0.020332898453643427,0.017121123622167903,10.0,10.0,,0.00029096499438405573,-0.028200973570161804,0.00029096499438405573
WELL,2020-02-13,0.352806,0.006259,0.107176,0.008716,Real Estate,0.009174527378554372,0.025390593924498855,0.008325997370271955,0.015301046712079233,0.010580418607251068,0.06829272169848193,10.0,10.0,,,0.02227088725016083,0.02227088725016083
WELL,2021-04-29,0.366327,0.009048,0.05713,0.008365,Real Estate,0.010696520728658954,0.019517787863275734,0.008996597942059667,0.021453073031692978,0.011641717728210777,0.01532970172461546,10.0,10.0,,0.00029877579472020396,0.001035295806656014,0.00029877579472020396
WELL,2022-05-11,0.2944,0.006583,0.120472,0.007963,Real Estate,0.014728243154961912,0.008949315152808102,0.006607683497745512,0.011744664850018922,0.01301226357840515,0.015686579200931534,10.0,10.0,,-0.0005072565567530813,0.029788118913046682,-0.0005072565567530813
WELL,2020-10-29,-0.018081,0.006045,-0.005126,0.007321,Real Estate,0.025173149495315912,0.06991507733201419,0.027900093728647782,0.03735975549162217,0.021661066285420565,0.0507470571207175,10.0,10.0,,-0.0023348054824024276,0.0342399837863156,-0.0023348054824024276
WELL,2020-05-07,0.029359,0.011165,-0.009703,0.012962,Real Estate,0.05060644710188067,0.05695664050715438,0.04113164519666339,0.06216679335271673,0.06452426816741848,0.045510141409842074,10.0,10.0,,,-0.08807330850867702,-0.08807330850867702
